Size,Naive,CacheAware,CacheOblivious
500,10.5858,9.79738,19.5448
501,9.17413,9.27587,18.9968
502,9.35933,10.2828,19.9539
503,10.3144,10.3182,19.8633
504,10.5228,9.92117,20.5718
505,10.1686,9.93271,20.5943
506,10.4824,11.963,21.0735
507,10.1577,10.2855,20.7591
508,10.0838,10.5827,20.3258
509,10.7405,10.536,20.5205
510,10.5306,10.9687,21.9257
511,10.6063,10.8848,21.603
512,10.3864,10.3822,13.5975
513,11.7433,11.9972,11.6381
514,11.8963,11.957,12.9839
515,12.6449,12.6552,12.2752
516,12.0432,12.1738,12.4239
517,12.4396,12.1626,12.5717
518,12.4115,12.357,12.0141
519,12.356,12.6621,12.2258
520,12.519,12.6182,19.0975
521,12.6589,12.7311,19.0886
522,13.0385,13.077,18.6341
523,12.9975,13.0759,18.9959
524,13.3266,13.341,18.7665
